Timestamp,Language,Text_Size,Iteration,Processing_Time_s,Audio_Duration_s,RTF
2026-06-29 11:46:27,ar,Pendek,1,3.122,5.024,0.6214
2026-06-29 11:46:28,ar,Pendek,2,0.846,5.024,0.1684
2026-06-29 11:46:29,ar,Pendek,3,0.911,5.024,0.1813
2026-06-29 11:46:31,ar,Sedang,1,2.246,9.984,0.225
2026-06-29 11:46:34,ar,Sedang,2,2.472,9.984,0.2476
2026-06-29 11:46:37,ar,Sedang,3,2.332,9.984,0.2336
2026-06-29 11:46:41,ar,Panjang,1,3.9,21.999,0.1773
2026-06-29 11:46:45,ar,Panjang,2,4.172,21.999,0.1896
2026-06-29 11:46:50,ar,Panjang,3,4.251,21.999,0.1932
2026-06-29 11:46:51,id,Pendek,1,0.833,4.712,0.1767
2026-06-29 11:46:52,id,Pendek,2,0.92,4.712,0.1953
2026-06-29 11:46:53,id,Pendek,3,0.803,4.712,0.1705
2026-06-29 11:46:55,id,Sedang,1,2.344,12.072,0.1942
2026-06-29 11:46:58,id,Sedang,2,2.353,12.072,0.1949
2026-06-29 11:47:01,id,Sedang,3,2.849,12.072,0.236
2026-06-29 11:47:05,id,Panjang,1,4.139,19.815,0.2089
2026-06-29 11:47:10,id,Panjang,2,4.639,19.815,0.2341
2026-06-29 11:47:14,id,Panjang,3,3.648,19.815,0.1841
2026-06-29 11:47:15,en,Pendek,1,0.897,4.544,0.1975
2026-06-29 11:47:16,en,Pendek,2,0.836,4.544,0.1841
2026-06-29 11:47:17,en,Pendek,3,0.823,4.544,0.1811
2026-06-29 11:47:20,en,Sedang,1,2.283,11.976,0.1906
2026-06-29 11:47:22,en,Sedang,2,2.163,11.976,0.1806
2026-06-29 11:47:24,en,Sedang,3,2.357,11.976,0.1968
2026-06-29 11:47:29,en,Panjang,1,3.907,19.263,0.2028
2026-06-29 11:47:34,en,Panjang,2,5.55,19.263,0.2881
2026-06-29 11:47:41,en,Panjang,3,6.187,19.263,0.3212
