Timestamp,Prompt_Type,Iteration,TTFT_ms,Total_Tokens,TPS
2026-06-29 11:27:23,Pendek,1,11782.25,39,21.3
2026-06-29 11:27:28,Pendek,2,2516.5,48,21.15
2026-06-29 11:27:33,Pendek,3,2973.31,49,21.44
2026-06-29 11:27:38,Pendek,4,2767.74,41,21.37
2026-06-29 11:27:42,Pendek,5,2664.27,41,21.06
2026-06-29 11:27:53,Sedang,1,2916.82,154,21.12
2026-06-29 11:28:02,Sedang,2,2767.62,136,21.4
2026-06-29 11:28:11,Sedang,3,2863.88,141,21.06
2026-06-29 11:28:19,Sedang,4,3039.56,102,20.66
2026-06-29 11:28:27,Sedang,5,2971.16,108,21.21
2026-06-29 11:28:35,Panjang,1,2923.63,104,21.35
2026-06-29 11:28:51,Panjang,2,2689.73,279,20.54
2026-06-29 11:29:06,Panjang,3,2942.58,241,20.35
2026-06-29 11:29:20,Panjang,4,2701.25,249,20.87
2026-06-29 11:29:28,Panjang,5,2846.37,102,21.26
